Trip_count,Weekday,Precipitation,Temp,Gust_speed
50045,0,1,66,14.1
58913,1,0,71,12.1
71912,1,0,75,15
69802,1,0,71,8.1
70483,1,0,71,8.9
72711,1,0,82,8.9
65250,0,0,83,8.1
41642,0,0,73,8.9
68078,1,0,73,8.9
76279,1,0,75,10.1
64292,1,0,78,12.1
75807,1,0,84,15
72422,1,0,76,13
63187,0,0,85,8.1
56228,0,0,91,8.9
63557,1,0,91,14.1
72170,1,0,88,12.1
74090,1,0,83,8.1
70052,1,1,83,8.1
71086,1,0,75,10.1
51031,0,0,66,13
55775,0,0,84,8.9
71752,1,0,81,15
80651,1,0,78,8.9
67698,1,0,73,10.1
50433,1,1,83,13
69864,1,0,89,10.1
54723,0,0,93,8.9
45266,0,0,96,8.9
58635,1,0,95,10.1
54884,1,0,92,8.9
48372,1,0,86,6.9
59476,1,0,90,10.1
49507,1,1,80,16.1
60918,0,0,78,15
60489,0,0,84,8.1
70067,1,0,87,8.9
72509,1,0,93,10.1
73018,1,0,88,12.1
74860,1,1,84,8.9
72121,1,0,84,8.9
62565,0,1,88,13
52295,0,1,83,10.1
67073,1,0,90,8.1
48497,1,1,88,16.1
75708,1,0,85,12.1
77993,1,0,83,8.9
74542,1,0,82,8.1
53655,0,1,79,15
44285,0,1,79,14.1
53077,1,0,80,12.1
69755,1,0,82,14.1
42990,1,1,77,13
71046,1,0,85,8.1
49221,1,1,86,12.1
61547,0,0,85,8.1
63480,0,0,82,8.9
69497,1,1,78,6.9
76277,1,0,82,8.1
64462,1,0,84,13
69705,1,1,86,10.1
61958,1,1,85,8.9
51200,0,1,84,8.9
58381,0,0,91,6.9
65677,1,0,92,10.1
64346,1,0,90,10.1
70573,1,0,90,8.1
71942,1,1,86,12.1
69599,1,0,86,8.1
36607,0,1,80,10.1
59835,0,0,84,10.1
44251,1,1,75,12.1
63686,1,1,82,17
73112,1,0,86,12.1
70806,1,0,88,12.1
63303,1,1,87,14.1
57278,0,0,85,10.1
45870,0,0,72,13
67565,1,0,74,10.1
75184,1,0,79,8.9
72602,1,1,82,12.1
73828,1,0,77,10.1
72880,1,0,82,8.1
64685,0,0,80,6.9
60953,0,0,83,13
67622,1,0,88,8.1
66609,1,0,94,12.1
65887,1,0,92,14.1
67877,1,0,90,12.1
58894,1,0,78,10.1
54323,0,0,78,8.1
60812,0,0,81,8.9
55052,1,0,90,8.9
68628,1,0,92,6.9
74963,1,0,89,6
70244,1,1,93,16.1
74582,1,0,75,14.1
58286,0,0,71,15
19950,0,1,62,13
23944,1,1,64,13
66536,1,0,74,8.1
53216,1,0,77,4.9
71330,1,0,79,6.9
53069,1,1,79,10.1
74360,1,0,81,10.1
76790,1,0,72,10.1
74934,1,0,72,8.1
69130,0,0,74,10.1
55493,0,0,66,8.9
71620,1,0,69,16.1
25421,1,1,73,12.1
67994,1,1,82,10.1
75358,1,0,72,13
57215,1,1,65,14.1
69327,0,0,72,8.1
66233,0,0,70,8.1
71378,1,0,76,8.9
73110,1,1,77,14.1
76757,1,0,74,8.9
70657,1,0,76,8.9
74515,1,0,71,13
57311,0,0,68,6.9
60525,0,0,79,8.1
57889,1,0,74,12.1
73713,1,0,77,8.9
76756,1,0,80,8.1
46530,1,1,77,8.9
67009,1,1,68,16.1
52413,1,0,53,17
47207,1,0,44,17
50120,1,0,49,8.1
57466,1,0,57,10.1
57506,1,1,75,14.1
42138,0,0,58,19.9
36824,0,0,45,14.1
46532,1,0,46,10.1
52981,1,0,51,10.1
55379,1,0,53,10.1
21238,1,1,46,17
35463,1,1,49,21
37375,0,0,48,23
50312,0,0,60,13
53451,1,0,56,13
55414,1,0,49,16.1
54473,1,0,47,15
58529,1,0,53,8.9
59307,1,0,59,10.1
66662,0,0,70,8.9
32762,0,0,65,16.1
51391,1,0,46,16.1
57891,1,0,52,14.1
67911,1,0,67,21.9
66396,1,0,60,15
34459,1,0,45,16.1
66529,0,0,68,13
64709,0,0,66,8.9
70500,1,1,79,15
59327,1,0,51,10.1
70977,1,0,60,14.1
62414,1,0,55,14.1
57998,1,1,68,8.9
71492,0,1,77,8.9
58470,0,0,73,8.9
45654,1,1,65,23.9
63316,1,0,66,17
65238,1,0,63,12.1
61555,1,0,62,10.1
64933,1,0,80,8.9
36784,0,1,64,6.9
51865,0,0,66,10.1
44109,1,1,64,12.1
75434,1,0,77,8.9
77723,1,0,69,15
60821,1,0,66,10.1
37115,1,1,59,14.1
56434,0,0,58,21
41200,0,0,53,12.1
60789,1,0,60,10.1
62660,1,0,60,10.1
60897,1,0,56,8.9
68701,1,0,78,12.1
62405,1,0,56,8.9
56023,0,0,71,6.9
16169,0,1,58,17
69914,1,0,74,13
72824,1,0,70,8.9
76389,1,0,71,10.1
66681,1,0,61,16.1
68039,1,0,73,10.1
69788,0,0,69,10.1
10729,0,1,59,18.1
22296,1,1,48,15
42780,1,1,52,8.1
74307,1,0,69,10.1
77878,1,0,73,13
72112,1,0,76,13
73143,0,0,75,8.9
69920,0,0,76,12.1
74489,1,0,85,18.1
79254,1,0,71,15
82007,1,0,74,13
56575,1,1,72,14.1
74857,1,0,73,18.1
59492,0,0,71,12.1
49950,0,0,86,12.1
66595,1,0,80,13
59432,1,0,71,12.1
55089,1,1,70,12.1
52481,1,1,70,8.9
83347,1,0,80,10.1
