Date,Precipitation,Snow.depth,Snowfall,Max.temp,Min.temp,Avg.wind.speed,Gust.speed
2000-02-13,0.13,0.0,0.0,41,25,5.4,13.0
2000-02-14,0.37,0.0,0.0,54,38,8.1,21.0
2000-02-15,0.00,0.0,0.0,41,32,9.6,19.9
2000-02-16,0.00,0.0,0.0,52,33,7.6,17.9
2000-02-17,0.00,0.0,0.0,39,26,8.3,23.9
2000-02-18,0.57,0.0,3.0,35,28,11.2,28.0
2000-02-19,0.24,3.0,0.0,32,29,6.7,14.1
2000-02-20,0.00,NA,0.0,38,30,8.1,17.0
2000-02-21,0.00,NA,0.0,42,30,6.7,13.0
2000-02-22,0.00,NA,0.0,51,34,6.5,13.0
2000-02-23,0.00,0.0,0.0,56,37,6.7,14.1
2000-02-24,0.00,0.0,0.0,64,47,3.8,12.1
2000-02-25,0.12,0.0,0.0,59,40,11.0,23.9
2000-02-26,0.00,0.0,0.0,44,39,10.1,23.0
2000-02-27,0.03,0.0,0.0,56,41,5.1,13.0
2000-02-28,0.10,0.0,0.0,56,40,11.9,23.9
2000-02-29,0.00,0.0,0.0,54,35,11.4,19.9
2000-03-01,0.02,0.0,0.0,49,37,5.6,14.1
2000-03-02,0.00,0.0,0.0,47,36,11.4,23.9
2000-03-03,0.00,0.0,0.0,46,34,14.3,23.0
2000-03-04,0.00,0.0,0.0,52,33,8.1,17.0
2000-03-05,0.00,0.0,0.0,55,42,8.9,17.0
2000-03-06,0.00,0.0,0.0,55,39,7.8,17.9
2000-03-07,0.01,0.0,0.0,65,39,6.3,14.1
2000-03-08,0.01,0.0,0.0,62,42,6.7,13.0
2000-03-09,0.00,0.0,0.0,71,48,4.5,15.0
2000-03-10,0.00,0.0,0.0,61,44,8.5,17.0
2000-03-11,1.11,0.0,0.0,44,38,12.3,25.1
2000-03-12,0.18,0.0,0.0,49,34,10.1,23.0
2000-03-13,0.00,0.0,0.0,48,32,7.4,16.1
2000-03-14,0.00,0.0,0.0,53,38,7.8,17.0
2000-03-15,0.00,0.0,0.0,63,42,8.1,17.0
2000-03-16,0.30,0.0,0.0,65,51,7.4,16.1
2000-03-17,0.69,0.0,0.4,53,28,10.3,21.0
2000-03-18,0.00,0.0,0.0,38,22,7.8,23.0
2000-03-19,0.00,0.0,0.0,43,31,6.7,17.0
2000-03-20,0.00,0.0,0.0,47,34,10.3,23.0
2000-03-21,0.00,0.0,0.0,42,37,16.8,29.1
2000-03-22,0.00,0.0,0.0,51,38,12.5,29.1
2000-03-23,0.00,0.0,0.0,64,38,5.1,15.0
2000-03-24,0.00,0.0,0.0,69,48,5.4,14.1
2000-03-25,0.08,0.0,0.0,64,50,5.8,15.0
2000-03-26,0.01,0.0,0.0,63,50,8.1,17.9
2000-03-27,0.00,0.0,0.0,58,43,7.2,17.9
2000-03-28,0.93,0.0,0.0,58,47,10.3,19.9
2000-03-29,0.00,0.0,0.0,55,44,10.1,21.9
2000-03-30,0.00,0.0,0.0,58,43,7.4,14.1
2000-03-31,0.00,0.0,0.0,57,39,6.0,15.0
2000-04-01,0.00,0.0,0.0,65,41,4.9,14.1
2000-04-02,0.00,0.0,0.0,67,51,8.7,19.9
2000-04-03,0.00,0.0,0.0,64,55,4.9,13.0
2000-04-04,0.39,0.0,0.0,65,48,9.4,21.0
2000-04-05,0.00,0.0,0.0,48,41,11.0,23.0
2000-04-06,0.00,0.0,0.0,71,40,6.3,19.9
2000-04-07,0.00,0.0,0.0,64,52,7.6,14.1
2000-04-08,0.00,0.0,0.0,71,50,8.9,19.9
2000-04-09,0.37,0.0,1.2,50,30,13.4,28.0
2000-04-10,0.00,1.0,0.0,54,38,8.3,16.1
